"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"1",4,5,10,4,14,6,36,33,40,71,70
"2",4,8,3,4,14,11,26,20,63,69,67
"3",12,9,4,5,6,10,36,22,47,68,69
"4",5,4,3,8,6,6,31,23,71,71,57
"5",4,5,4,5,10,7,30,22,67,70,50
"6",2,3,3,6,15,6,35,19,45,67,50
"7",9,5,4,5,7,7,25,22,60,65,41
"8",4,4,3,4,12,15,35,23,31,49,67
"9",4,5,3,6,8,7,26,27,73,60,49
"10",13,7,3,4,13,8,22,23,45,59,63
"11",8,13,3,7,8,6,26,6,66,40,63
"12",5,10,3,6,8,7,30,22,65,74,66
"13",3,9,3,7,7,26,26,20,62,71,62
"14",5,15,3,6,25,8,43,19,66,68,68
"15",1,5,9,5,10,6,20,33,65,45,70
"16",10,6,10,8,11,6,35,20,72,46,50
"17",15,5,3,5,17,12,49,23,67,51,40
"18",8,7,12,7,12,5,27,19,62,68,46
"19",16,7,4,4,11,13,33,38,28,67,63
"20",4,6,3,4,10,6,14,21,49,65,65
"21",3,4,21,5,9,13,19,21,69,41,40
"22",3,6,3,5,8,6,27,16,44,66,49
"23",3,6,3,5,9,7,36,25,34,69,76
"24",13,8,6,5,13,6,26,19,59,73,68
"25",8,6,3,6,10,10,28,21,68,46,61
"26",4,8,3,4,12,11,42,22,75,66,63
"27",3,8,3,9,22,9,35,18,68,71,49
"28",16,6,3,7,14,6,39,6,70,68,71
"29",5,4,5,5,11,24,32,23,71,51,67
"30",9,6,3,5,16,6,38,20,71,71,67
"31",1,7,3,5,7,20,33,21,70,73,47
"32",2,10,7,4,7,8,42,23,58,49,41
"33",5,8,2,4,17,20,37,23,47,72,67
"34",4,8,3,7,7,21,43,22,50,45,71
"35",6,5,3,4,9,8,19,19,49,68,66
"36",6,6,4,7,8,6,19,21,65,40,68
"37",12,7,3,7,12,13,23,21,63,68,68
"38",9,6,3,4,8,5,32,20,68,45,46
"39",3,8,6,4,14,5,33,18,68,74,65
"40",13,4,3,6,7,9,30,21,61,45,66
"41",5,5,3,5,8,7,38,21,48,71,76
"42",8,5,7,6,6,7,31,26,73,51,50
"43",22,6,11,5,10,7,36,19,47,49,49
"44",8,7,3,5,8,7,16,20,40,69,44
"45",12,7,3,4,11,11,32,21,66,35,65
"46",6,6,3,6,25,7,18,6,75,70,70
"47",8,7,3,7,8,6,34,21,61,60,35
"48",16,8,6,6,28,16,29,20,67,67,68
"49",4,6,3,5,16,7,22,21,68,58,70
"50",4,7,6,7,22,5,36,22,51,47,41
"51",4,8,6,6,9,6,39,23,69,72,50
"52",3,4,4,6,11,7,28,7,58,65,46
"53",7,2,4,7,10,9,34,22,50,70,70
"54",1,9,4,5,18,8,33,22,70,68,70
"55",14,5,5,5,12,15,37,7,37,67,66
"56",4,5,3,4,10,20,33,21,61,61,74
"57",10,8,3,5,9,8,30,23,68,63,71
"58",8,3,3,3,11,6,29,7,56,46,72
"59",6,6,6,7,8,20,21,19,65,46,69
"60",22,5,10,6,20,26,16,23,66,72,72
"61",8,8,3,5,10,7,15,20,73,68,62
"62",4,7,7,6,9,6,36,20,49,69,71
"63",6,8,4,6,18,25,23,24,63,70,71
"64",9,4,10,5,10,19,37,21,44,66,69
"65",7,3,4,9,10,11,38,20,65,65,75
"66",3,6,3,4,8,7,41,21,78,71,68
"67",1,7,3,5,13,20,17,26,62,40,63
"68",10,6,4,6,10,8,26,21,46,68,70
"69",8,4,3,7,12,7,39,24,69,73,49
"70",1,6,3,6,8,8,26,22,21,45,47
"71",3,12,5,5,24,11,23,18,64,64,69
"72",5,7,3,8,9,7,35,22,65,45,60
"73",4,6,3,5,8,8,27,19,66,47,48
"74",9,8,3,4,20,6,43,23,75,62,72
"75",2,10,3,5,25,6,28,44,67,61,70
"76",16,8,6,4,25,15,32,23,46,62,58
"77",8,8,6,3,10,6,27,21,68,71,45
"78",18,8,3,8,5,5,18,21,61,63,70
"79",14,6,3,7,20,12,30,22,49,63,58
"80",3,4,3,7,6,7,37,22,40,69,72
"81",6,12,14,5,11,6,43,8,63,45,66
"82",3,6,3,5,10,15,25,20,61,74,50
"83",6,5,5,5,10,7,27,21,72,64,66
"84",15,6,3,6,24,19,43,26,55,60,72
"85",2,7,3,6,14,22,24,24,71,46,72
"86",5,8,6,7,16,8,24,20,52,66,60
"87",14,8,3,10,10,6,39,18,69,60,72
"88",8,5,3,5,10,7,37,21,34,70,61
"89",9,4,4,4,8,6,35,19,49,63,60
"90",5,6,4,7,7,8,28,27,49,61,63
"91",5,6,5,6,11,7,30,22,62,68,68
"92",26,3,3,6,6,5,38,7,59,66,51
"93",8,8,3,5,7,8,25,22,68,72,72
"94",7,6,3,8,12,17,41,20,69,45,34
"95",6,8,3,6,11,6,37,20,69,45,70
"96",22,6,3,6,9,5,33,21,70,61,65
"97",10,6,3,5,8,15,20,20,60,67,71
"98",11,6,3,5,25,10,23,23,49,66,40
"99",7,6,3,3,12,7,17,22,66,47,72
"100",10,7,3,6,11,19,28,23,65,47,69
"101",1,7,3,6,17,21,29,20,75,72,48
"102",3,9,3,8,25,6,35,19,57,71,61
"103",3,5,3,7,11,8,21,22,71,70,68
"104",5,5,3,6,12,5,38,20,64,47,61
"105",10,5,3,4,14,10,39,23,67,66,70
"106",4,5,7,8,10,8,24,28,41,62,69
"107",13,6,3,6,9,6,25,26,71,62,64
"108",7,9,4,6,17,6,46,18,50,65,69
"109",8,6,3,4,24,8,35,28,67,69,65
"110",22,7,4,3,10,7,37,8,66,70,58
"111",3,7,5,11,23,7,36,25,54,62,46
"112",5,6,3,7,13,9,41,21,41,68,66
"113",4,7,3,4,7,25,30,27,59,47,62
"114",5,5,3,5,7,7,34,24,50,60,81
"115",6,8,3,7,17,26,30,21,60,72,66
"116",1,8,3,2,11,18,30,26,71,45,44
"117",2,6,3,5,6,19,41,22,69,72,47
"118",2,6,8,7,7,11,31,19,62,38,47
"119",11,7,3,8,7,6,41,21,57,72,46
