"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.32","scope.8","cv.glmnet","cv.MCP","cv.MCP.g.8","cv.MCP.g.32","cv.grLasso"
"1",5,11,12,7,3,4,21,20,20,21,20
"2",6,9,8,7,2,5,21,20,20,23,24
"3",6,11,12,8,3,4,18,20,23,21,20
"4",8,10,10,8,3,4,23,20,20,23,23
"5",7,12,8,7,7,6,20,20,20,24,24
"6",5,12,7,7,3,4,20,20,20,23,20
"7",6,11,8,7,3,4,20,20,20,23,24
"8",6,9,12,7,3,4,21,20,20,20,23
"9",6,8,7,8,3,4,19,20,20,20,20
"10",7,6,8,7,3,4,18,20,20,23,23
"11",6,9,18,7,3,4,19,21,23,20,24
"12",5,10,7,8,3,4,18,20,20,20,23
"13",6,8,8,8,3,4,20,20,23,21,23
"14",6,8,7,8,3,5,22,21,20,23,23
"15",5,9,9,7,3,5,20,20,23,23,21
"16",5,9,7,8,4,5,20,23,23,20,23
"17",6,9,19,8,3,4,19,20,20,20,21
"18",6,7,10,8,3,6,19,20,20,20,23
"19",6,10,8,6,3,4,20,20,21,21,23
"20",8,9,18,8,7,4,20,20,23,24,23
"21",5,10,18,6,6,4,21,20,23,20,23
"22",6,9,8,8,5,4,21,20,23,23,23
"23",6,10,8,8,4,4,22,20,23,23,23
"24",6,8,8,8,8,4,23,20,20,23,23
"25",5,8,8,7,3,4,23,20,20,23,23
"26",5,9,16,8,2,4,18,20,21,23,23
"27",5,11,8,8,3,4,20,23,20,24,23
"28",8,10,8,7,4,4,20,20,23,20,24
"29",6,10,7,7,3,4,22,20,23,24,23
"30",5,8,16,8,3,4,19,20,20,24,23
"31",6,9,17,6,3,4,21,20,23,23,23
"32",5,10,10,7,7,4,20,21,20,21,23
"33",7,12,8,8,3,4,18,20,23,23,24
"34",8,11,8,8,4,4,21,20,20,23,23
"35",5,10,9,7,5,5,20,20,20,20,23
"36",6,6,8,8,2,4,23,20,20,23,24
"37",5,9,8,8,4,4,21,20,20,20,23
"38",6,15,15,8,8,4,19,20,20,21,20
"39",6,9,12,8,7,4,18,23,23,23,23
"40",5,8,19,8,3,4,18,20,24,20,20
"41",6,9,11,7,3,4,21,20,20,23,21
"42",7,11,17,8,2,4,20,20,20,20,23
"43",5,10,16,7,3,5,22,20,23,23,23
"44",6,9,8,9,2,4,19,20,20,23,23
"45",6,8,7,8,3,4,18,20,20,20,21
"46",5,11,8,8,3,4,23,20,21,21,23
"47",5,8,16,8,6,4,20,23,20,23,20
"48",6,12,19,7,5,4,21,20,23,23,24
"49",6,10,11,7,4,4,21,20,20,20,21
"50",6,10,8,7,3,4,21,20,23,23,23
"51",7,10,16,8,3,4,19,20,23,20,23
"52",6,12,10,7,6,5,22,20,23,23,21
"53",5,6,8,8,5,4,23,20,20,23,21
"54",5,6,19,7,7,5,23,20,20,23,24
"55",6,7,14,8,6,4,20,20,20,23,24
"56",6,9,14,8,2,4,18,23,20,23,24
"57",7,10,13,8,3,4,21,20,20,21,20
"58",6,10,15,8,2,4,23,20,20,23,21
"59",6,7,10,7,3,5,19,20,20,20,23
"60",7,9,16,7,3,4,20,20,20,23,23
"61",6,9,5,8,3,4,23,20,20,20,20
"62",6,6,8,8,4,4,20,20,21,23,24
"63",6,6,7,8,3,4,22,20,23,23,23
"64",6,9,9,7,5,4,19,20,20,23,24
"65",5,9,19,8,3,4,20,21,23,23,23
"66",6,10,12,7,3,4,23,20,23,20,23
"67",5,11,15,7,3,4,20,20,23,20,23
"68",6,10,7,8,3,4,19,20,21,23,23
"69",5,9,8,6,4,4,19,20,20,24,24
"70",4,7,11,8,4,4,17,20,20,21,23
"71",6,9,9,8,3,4,21,20,20,23,23
"72",6,15,15,8,4,4,20,20,20,20,23
"73",7,11,9,7,3,4,19,20,20,23,20
"74",6,10,18,8,6,4,19,20,20,21,20
"75",6,11,7,7,5,4,20,20,20,23,23
"76",5,10,8,8,6,5,21,20,23,23,20
"77",6,9,8,8,3,4,20,20,20,23,23
"78",5,10,19,7,3,4,21,20,23,24,21
"79",6,6,8,7,5,6,19,20,24,23,21
"80",5,11,15,7,3,4,19,20,23,20,23
"81",5,9,8,7,3,5,20,20,20,20,23
"82",6,10,18,7,2,5,22,20,20,23,23
"83",6,7,8,8,2,4,21,20,20,23,23
"84",5,10,18,8,3,4,20,20,23,23,24
"85",6,10,18,8,3,4,21,20,23,20,23
"86",6,11,8,7,6,4,20,20,23,23,20
"87",6,11,12,7,7,4,19,20,23,20,20
"88",7,11,11,9,3,4,21,23,23,20,23
"89",6,13,8,7,3,5,23,20,23,23,23
