"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","RF","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"1",0.0625,0.03125,0.125,0.09375,0.03125,0.125,0.15625,0.125,0.125,0.03125,0.09375,0.15625
"2",0.375,0.0625,0.28125,0.28125,0.15625,0.125,0.09375,0.03125,0.15625,0.0625,0.0625,0.03125
"3",0.15625,0.0625,0.0625,0.1875,0.1875,0.125,0.125,0.125,0.28125,0.0625,0.0625,0.0625
"4",0.03125,0.15625,0.09375,0.25,0.125,0.125,0.09375,0.125,0.15625,0.1875,0.09375,0
"5",0.125,0.0625,0.15625,0.21875,0.09375,0.25,0.0625,0.125,0.15625,0,0.0625,0.03125
"6",0.125,0.15625,0.0625,0.09375,0.03125,0.0625,0.09375,0.09375,0.09375,0.125,0.0625,0.09375
"7",0.1875,0.0625,0.09375,0.21875,0.125,0.09375,0.125,0.0625,0.21875,0.0625,0.15625,0.125
"8",0.15625,0.0625,0.09375,0.15625,0.125,0.03125,0.125,0.125,0.34375,0.125,0.0625,0.0625
"9",0.25,0.1875,0.125,0.125,0.15625,0.09375,0.125,0.0625,0.1875,0.0625,0.0625,0.1875
"10",0.15625,0.125,0.09375,0.09375,0.09375,0.1875,0.09375,0,0.09375,0.09375,0.0625,0.15625
"11",0.09375,0.0625,0.1875,0.03125,0.03125,0.03125,0.09375,0.0625,0.21875,0.09375,0.03125,0.125
"12",0.0625,0.09375,0.21875,0.03125,0.09375,0.09375,0.125,0.0625,0.09375,0.09375,0.125,0.15625
"13",0.0625,0.1875,0.34375,0.1875,0.125,0.0625,0.0625,0.09375,0.375,0.15625,0.09375,0.03125
"14",0.15625,0.0625,0.1875,0.125,0.0625,0.09375,0.09375,0.0625,0.09375,0.21875,0.03125,0.125
"15",0.0625,0.1875,0.15625,0.25,0.15625,0.15625,0.15625,0.03125,0.125,0.03125,0.125,0.09375
"16",0.09375,0.0625,0.09375,0.0625,0.0625,0.1875,0.03125,0.03125,0.0625,0.09375,0.03125,0.0625
"17",0.125,0.1875,0.125,0.125,0.28125,0.03125,0.0625,0.0625,0.09375,0.09375,0.03125,0.125
"18",0.0625,0.125,0.21875,0.03125,0.09375,0.28125,0.09375,0.0625,0.125,0.09375,0.09375,0.0625
"19",0.125,0.15625,0.09375,0.1875,0.125,0.125,0.0625,0.125,0.125,0.03125,0.15625,0.0625
"20",0.375,0.15625,0.03125,0.1875,0.15625,0.125,0.09375,0.09375,0.03125,0.0625,0.09375,0.09375
"21",0.40625,0.0625,0.09375,0.09375,0.15625,0.09375,0.09375,0.0625,0.125,0.15625,0.1875,0.125
"22",0.125,0.09375,0.09375,0.0625,0.0625,0.0625,0.15625,0.09375,0.1875,0.15625,0.0625,0.0625
"23",0.09375,0.28125,0.15625,0.15625,0.0625,0.0625,0.09375,0.03125,0.15625,0.125,0.125,0.125
"24",0.125,0.09375,0.15625,0.125,0.125,0.03125,0.125,0.1875,0.0625,0.09375,0.0625,0.09375
"25",0.09375,0.0625,0.21875,0.25,0.09375,0.1875,0.09375,0.03125,0.15625,0.0625,0.125,0.03125
"26",0.28125,0.0625,0.0625,0.09375,0.09375,0.21875,0.0625,0.03125,0.25,0.15625,0.21875,0.125
"27",0.28125,0.15625,0.15625,0.0625,0.125,0.15625,0.09375,0.0625,0.125,0.09375,0.0625,0.03125
"28",0.34375,0.09375,0.125,0.15625,0.125,0.125,0.125,0.125,0.21875,0.09375,0.15625,0.0625
"29",0.0625,0.03125,0.0625,0.03125,0.03125,0,0.09375,0.0625,0.21875,0.09375,0.03125,0.0625
"30",0.125,0.09375,0.03125,0.34375,0.15625,0.15625,0.15625,0.0625,0.0625,0.21875,0.0625,0.03125
"31",0.125,0.0625,0.09375,0.1875,0.0625,0.09375,0.0625,0.0625,0.25,0.125,0.03125,0.15625
"32",0.09375,0.125,0.15625,0.1875,0.0625,0.0625,0.03125,0.09375,0.1875,0.0625,0.0625,0.0625
"33",0.25,0.15625,0.3125,0.03125,0.09375,0.15625,0.15625,0,0.375,0.0625,0.09375,0.03125
"34",0.125,0.09375,0.15625,0.0625,0.09375,0.125,0.15625,0.09375,0.21875,0.09375,0.03125,0.0625
"35",0.125,0.1875,0.03125,0.03125,0.15625,0.03125,0.03125,0.0625,0.21875,0.09375,0.03125,0.0625
"36",0.21875,0.125,0.1875,0.0625,0.09375,0.03125,0.1875,0.125,0.25,0.15625,0.0625,0.09375
"37",0.15625,0.09375,0.21875,0.09375,0.125,0.0625,0,0.03125,0.1875,0,0,0.09375
"38",0.09375,0.125,0.1875,0.1875,0.03125,0.09375,0.125,0.125,0.15625,0.09375,0.03125,0.15625
"39",0.03125,0.09375,0.1875,0.21875,0.0625,0.15625,0.125,0.0625,0.4375,0.15625,0.0625,0.125
"40",0.15625,0.125,0.1875,0.15625,0.0625,0.0625,0.0625,0.0625,0.25,0,0.09375,0.0625
"41",0.125,0.09375,0.0625,0.15625,0.0625,0.25,0.09375,0.15625,0.125,0.09375,0.03125,0.09375
"42",0.21875,0.09375,0.1875,0.15625,0.0625,0.21875,0.03125,0.03125,0.09375,0.0625,0.09375,0.125
"43",0.0625,0.125,0.15625,0.09375,0.09375,0.09375,0.125,0.125,0.125,0.15625,0.09375,0.09375
"44",0.3125,0.09375,0.09375,0.09375,0.125,0.0625,0.125,0.09375,0.125,0.15625,0.0625,0.03125
"45",0.09375,0.0625,0.0625,0.1875,0.03125,0.28125,0.0625,0.125,0.1875,0.03125,0.0625,0.03125
"46",0.09375,0.09375,0.15625,0.1875,0.0625,0.1875,0.0625,0.125,0.1875,0.21875,0.09375,0.0625
"47",0.125,0.125,0.15625,0.21875,0.21875,0.15625,0.03125,0.0625,0.3125,0.1875,0.15625,0.09375
"48",0.0625,0.125,0.0625,0.125,0.09375,0.09375,0.0625,0.03125,0.15625,0.125,0.0625,0.03125
"49",0.28125,0.09375,0.03125,0.1875,0.09375,0.15625,0.125,0.03125,0.125,0.125,0.21875,0.09375
"50",0.125,0.15625,0.125,0.0625,0.03125,0.15625,0.09375,0.09375,0.28125,0.03125,0.09375,0.25
"51",0.125,0.15625,0.09375,0.15625,0.0625,0.125,0.125,0.03125,0.15625,0.0625,0.09375,0.09375
"52",0.03125,0.1875,0.28125,0.21875,0.03125,0.15625,0.0625,0.0625,0.21875,0.0625,0.125,0.15625
"53",0.1875,0.03125,0.0625,0.0625,0.09375,0.3125,0.09375,0.15625,0.09375,0.0625,0.0625,0.03125
"54",0.125,0.09375,0.03125,0.0625,0.0625,0.125,0.09375,0.0625,0.03125,0.0625,0.0625,0.0625
"55",0.0625,0.09375,0.28125,0.09375,0.09375,0.09375,0.0625,0.1875,0.1875,0.09375,0.125,0.125
"56",0.09375,0.125,0.125,0.09375,0.15625,0.1875,0.0625,0.0625,0.15625,0.125,0.03125,0.03125
"57",0.125,0.15625,0.09375,0.125,0.125,0.21875,0,0.15625,0.25,0.15625,0.09375,0.03125
"58",0.1875,0.09375,0.15625,0.21875,0.03125,0.09375,0.15625,0.0625,0.15625,0.09375,0.15625,0.0625
"59",0.0625,0.0625,0.125,0.15625,0.09375,0.125,0.125,0.0625,0.1875,0.15625,0.09375,0.09375
"60",0.0625,0.0625,0.0625,0.0625,0.09375,0.0625,0.125,0.09375,0.1875,0.0625,0.0625,0.09375
"61",0.0625,0.21875,0.03125,0.1875,0.0625,0.09375,0.15625,0.09375,0.1875,0.0625,0,0.1875
"62",0.125,0.09375,0.1875,0.34375,0.09375,0.09375,0.09375,0.15625,0.15625,0.09375,0.0625,0.125
"63",0.28125,0.09375,0.09375,0.09375,0.03125,0.1875,0.0625,0.0625,0.15625,0.09375,0.125,0.0625
"64",0.21875,0.1875,0.03125,0.1875,0.03125,0.09375,0.09375,0.09375,0.34375,0,0.03125,0.03125
"65",0.40625,0.0625,0.25,0.21875,0.0625,0.125,0.125,0.09375,0.0625,0.03125,0.03125,0.0625
