"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"1",4,4,7,5,9,5,30,7,34,43,40
"2",3,5,2,4,7,5,27,13,46,52,31
"3",4,5,5,6,7,6,17,4,34,37,52
"4",5,4,4,4,11,5,31,10,43,40,37
"5",4,4,5,5,10,5,18,7,40,49,61
"6",4,4,5,5,7,6,22,10,34,49,40
"7",6,4,7,5,6,5,29,7,40,34,52
"8",5,4,6,4,6,8,29,7,34,52,55
"9",3,5,5,5,14,4,33,10,40,49,46
"10",4,4,5,4,5,6,28,10,40,43,40
"11",4,5,6,5,6,6,20,13,40,40,49
"12",4,4,6,5,5,5,28,10,40,49,40
"13",4,4,4,5,11,5,34,7,40,37,61
"14",4,5,6,5,6,6,14,13,37,49,37
"15",4,4,8,5,6,7,25,10,46,43,46
"16",4,5,8,5,6,5,15,10,34,40,40
"17",4,5,4,5,9,6,24,10,34,58,55
"18",9,4,5,5,7,6,24,10,22,49,46
"19",4,4,5,5,6,6,24,13,37,49,49
"20",2,6,6,4,6,6,15,13,43,61,49
"21",3,4,5,5,9,5,29,10,25,22,40
"22",5,5,5,5,7,5,27,7,34,55,40
"23",4,7,5,4,8,5,29,10,37,37,61
"24",4,4,7,4,19,5,22,10,46,58,34
"25",4,5,8,6,6,4,30,10,46,40,49
"26",3,5,7,5,6,5,26,7,31,46,52
"27",2,4,7,5,11,6,29,10,46,43,52
"28",2,4,5,6,6,6,29,7,31,37,55
"29",4,5,5,5,10,6,24,10,40,37,64
"30",4,7,7,5,9,5,29,10,31,64,49
"31",4,5,4,4,7,6,37,7,22,43,43
"32",4,5,5,6,8,6,25,13,43,43,64
"33",2,5,3,5,8,5,23,7,37,52,55
"34",4,5,8,5,10,5,29,10,49,40,55
"35",4,5,5,5,4,7,30,13,34,52,49
"36",3,4,7,5,8,6,29,10,49,40,49
"37",4,4,4,5,5,5,27,13,43,61,40
"38",4,5,4,6,9,5,28,7,40,49,58
"39",4,4,7,4,6,6,18,10,37,55,61
"40",4,4,4,5,6,6,24,7,49,46,49
"41",4,6,5,6,11,4,19,13,43,46,49
"42",4,4,7,4,9,5,28,10,34,46,58
"43",4,4,4,5,5,5,24,10,37,43,52
"44",2,5,5,5,8,6,20,13,31,61,49
"45",4,5,7,5,13,4,25,10,34,52,43
"46",4,4,7,5,6,6,28,7,46,43,49
"47",4,5,5,4,5,4,22,7,40,37,55
"48",4,4,6,5,6,6,31,10,40,55,52
"49",4,6,6,6,5,6,32,10,40,34,46
"50",4,4,5,7,8,7,24,10,46,40,43
"51",4,4,5,5,11,5,32,10,40,49,52
"52",4,5,6,5,6,4,26,7,34,37,55
"53",4,5,5,5,9,4,20,10,52,46,61
"54",4,5,7,6,6,7,30,13,49,52,55
"55",4,5,2,6,5,5,29,10,37,46,37
"56",4,5,7,5,6,5,21,13,43,37,49
"57",4,4,6,4,6,4,26,7,43,40,49
"58",5,5,4,4,7,5,29,10,43,40,52
"59",5,5,5,5,7,5,31,10,43,49,52
"60",5,5,5,5,9,6,35,10,37,40,34
"61",5,4,5,4,5,5,26,7,46,43,46
"62",4,5,7,4,7,5,19,7,46,49,40
"63",2,4,6,6,13,4,29,7,22,52,49
"64",4,4,6,4,8,6,40,7,46,46,49
"65",2,5,5,4,6,5,16,10,37,49,58
"66",4,4,6,5,5,5,20,10,40,49,52
"67",4,4,6,4,6,6,29,7,46,49,46
"68",4,5,5,4,15,7,32,7,37,34,61
"69",4,4,4,5,11,5,26,13,37,40,43
"70",5,5,5,5,22,6,22,13,46,37,52
"71",4,4,5,6,13,5,21,7,40,40,49
"72",2,6,8,6,9,5,30,10,34,49,37
"73",4,4,5,5,6,5,31,7,46,55,46
"74",2,3,5,5,8,5,21,13,40,49,58
"75",4,4,7,5,7,5,30,10,37,52,43
"76",2,4,4,4,14,6,18,13,31,52,43
"77",4,4,6,4,9,5,20,10,43,46,61
"78",4,5,7,6,10,7,20,10,43,55,40
"79",4,6,5,5,10,4,30,7,46,40,28
"80",5,4,7,6,8,5,19,4,49,43,40
"81",5,4,5,7,14,6,26,10,40,52,40
"82",4,4,6,6,13,6,23,10,43,40,43
"83",5,4,6,5,6,4,27,13,52,46,55
"84",4,4,4,5,7,5,20,10,46,52,55
"85",4,4,5,5,7,6,22,10,46,46,58
"86",5,6,5,5,6,6,33,7,40,40,52
"87",4,5,6,4,8,7,25,10,46,43,58
"88",4,4,5,6,18,6,24,10,55,34,61
"89",4,4,4,5,7,6,27,13,43,49,43
"90",4,4,5,5,5,3,29,13,49,43,55
"91",4,4,5,5,9,6,27,10,37,46,46
"92",5,5,7,5,8,4,26,7,58,40,43
"93",4,4,5,6,6,6,33,10,40,31,49
"94",4,5,3,4,7,5,29,10,49,46,52
"95",4,5,5,4,11,4,34,7,31,46,49
"96",4,4,5,4,6,5,18,7,49,55,40
"97",4,3,5,5,10,5,38,13,40,43,46
